Session ID,Mouse ID,alpha,beta,kappa,nll,n_trials,beta_at_bound,kappa_at_bound,alpha_at_bound,group
young_000_s00,young_000,0.3057058293243909,22.204385847888098,0.3736286000556033,15.117249951133463,150,False,False,False,non_boundary
young_000_s01,young_000,0.31009772734724034,39.226211895858924,-0.8803947125399718,11.223638479105295,150,False,False,False,non_boundary
young_000_s02,young_000,0.22006589724925354,30.904845844088875,-0.48699889626035053,12.996446763959124,150,False,False,False,non_boundary
young_000_s03,young_000,0.22293299965032973,22.612991754483613,-0.03850347483769012,18.6378657885671,150,False,False,False,non_boundary
young_000_s04,young_000,0.20366569673406648,50.0,-1.4411658678956076,6.598653358496512,150,True,False,False,fast_learner
young_000_s05,young_000,0.22028619508162653,50.0,-0.6850604987094913,8.486022240853387,150,True,False,False,fast_learner
young_000_s06,young_000,0.27209867185726927,21.41361975438126,-0.2946265399550386,15.314551995429298,150,False,False,False,non_boundary
young_000_s07,young_000,0.32535820552434264,32.72598587132919,-0.08083961911705298,10.81400162507173,150,False,False,False,non_boundary
young_000_s08,young_000,0.24767415296043152,23.168331436481623,-0.1503486286612819,14.14238563736516,150,False,False,False,non_boundary
young_000_s09,young_000,0.2808622216303969,50.0,0.22806980123047849,3.6228285749216282,150,True,False,False,fast_learner
young_001_s00,young_001,0.22198314746623188,17.775054200115186,0.5155601089536921,21.010363816581748,150,False,False,False,non_boundary
young_001_s01,young_001,0.22558732005823237,50.0,-0.7210441296740544,12.22466286701667,150,True,False,False,fast_learner
young_001_s02,young_001,0.2785023830623802,50.0,-1.0889581028777289,6.387296828345964,150,True,False,False,fast_learner
young_001_s03,young_001,0.3071972852967933,20.061669747160902,-0.2759172630495025,16.653795199627474,150,False,False,False,non_boundary
young_001_s04,young_001,0.3253756263478271,22.573407045997012,-0.18909486988627192,16.851311859861298,150,False,False,False,non_boundary
young_001_s05,young_001,0.2841214759881344,33.00098388911008,-0.5389816317502062,13.385992392387363,150,False,False,False,non_boundary
young_001_s06,young_001,0.30987016607546347,17.59334749451603,0.39299210161234127,18.21934635051008,150,False,False,False,non_boundary
young_001_s07,young_001,0.23511850914682883,24.713982095508978,-0.4559759538418393,15.69880858745965,150,False,False,False,non_boundary
young_001_s08,young_001,0.18295041976337242,24.340785521250687,0.15714254225688415,19.31591028566835,150,False,False,False,non_boundary
young_001_s09,young_001,0.2591547511100718,28.24234673944739,0.03128880780721819,15.399670157930132,150,False,False,False,non_boundary
young_002_s00,young_002,0.26071665183689824,24.917850438853947,0.4614901096003648,13.026774075098249,150,False,False,False,non_boundary
young_002_s01,young_002,0.24893562119426213,23.09509700323973,1.0138271262280025,14.95134236196998,150,False,False,False,non_boundary
young_002_s02,young_002,0.2565344463044708,20.29988293998562,0.2148456457689846,22.020365530760177,150,False,False,False,non_boundary
young_002_s03,young_002,0.25412405867779475,27.122103431637353,0.3549573430474679,12.025976912097573,150,False,False,False,non_boundary
young_002_s04,young_002,0.2754269358390207,20.42274410697563,0.4508556146686039,15.813441399333776,150,False,False,False,non_boundary
young_002_s05,young_002,0.27247204823016946,21.41269233491404,-0.24422970009629233,18.406561628313597,150,False,False,False,non_boundary
young_002_s06,young_002,0.28451964482550846,50.0,0.42214313231111683,6.584287167779985,150,True,False,False,fast_learner
young_002_s07,young_002,0.19109459697480197,29.146148268480946,0.43802930504195503,13.862942508620563,150,False,False,False,non_boundary
young_002_s08,young_002,0.25064916424777,28.00950339051732,0.8298675209216272,10.193565067543714,150,False,False,False,non_boundary
young_002_s09,young_002,0.30497605338162864,33.40331237612466,-0.9009457403126652,10.559515968522323,150,False,False,False,non_boundary
young_003_s00,young_003,0.26816098930145854,41.71865855358335,-0.7092115424841551,12.094029127178011,150,False,False,False,non_boundary
young_003_s01,young_003,0.25391012175326516,31.950761445920957,-0.8083068883069681,14.516110574060928,150,False,False,False,non_boundary
young_003_s02,young_003,0.27979900094599985,19.76673951116228,0.15552818962932272,16.17907351206971,150,False,False,False,non_boundary
young_003_s03,young_003,0.23162591382730754,29.3464303102509,-0.34844423529428353,16.072743389847098,150,False,False,False,non_boundary
young_003_s04,young_003,0.3224965777625315,35.12327881302345,-0.36205926651110537,12.863824246210088,150,False,False,False,non_boundary
young_003_s05,young_003,0.181439752820453,49.5795430641938,-0.9315011166370996,8.477409282209164,150,False,False,False,non_boundary
young_003_s06,young_003,0.279450453306155,27.696087258365125,-0.3358723727326362,10.127017235983388,150,False,False,False,non_boundary
young_003_s07,young_003,0.24760645001806175,19.85762320921813,-0.28032410124851403,21.72183820533869,150,False,False,False,non_boundary
young_003_s08,young_003,0.2035816199801895,24.37774084223564,0.44195764149529637,13.894785523061753,150,False,False,False,non_boundary
young_003_s09,young_003,0.21250622499706098,39.329249167456254,-0.17408436736706528,8.71575918891723,150,False,False,False,non_boundary
young_004_s00,young_004,0.3324700766995156,26.803328512686484,-0.16246435952374938,11.941382278984774,150,False,False,False,non_boundary
young_004_s01,young_004,0.3011621025674499,19.21274435486481,-0.05121655328579632,17.163706332870365,150,False,False,False,non_boundary
young_004_s02,young_004,0.21488178526040477,20.61419362869025,0.7443955734401023,19.269269914509618,150,False,False,False,non_boundary
young_004_s03,young_004,0.26948297848133407,39.195496481223095,-0.3878759406510747,7.45035545618169,150,False,False,False,non_boundary
young_004_s04,young_004,0.24400543189967877,49.43758879297496,0.25871547912802956,6.3577093232881055,150,False,False,False,non_boundary
young_004_s05,young_004,0.2853372470999237,25.392395707036613,0.15666212158587606,18.0347965929531,150,False,False,False,non_boundary
young_004_s06,young_004,0.33147606085443265,50.0,0.9779496171649478,6.7749551256010525,150,True,False,False,fast_learner
young_004_s07,young_004,0.2252641654682502,38.01712104383063,0.3326405543112931,15.145294516383697,150,False,False,False,non_boundary
young_004_s08,young_004,0.22964561929301539,41.72683393058524,-0.9852839361305478,10.621641183930684,150,False,False,False,non_boundary
young_004_s09,young_004,0.3220375198893532,27.05605709638472,0.16206661084175858,17.62055349929824,150,False,False,False,non_boundary
young_005_s00,young_005,0.2801354542713962,35.11160544388102,0.9462354353490572,11.787584704409799,150,False,False,False,non_boundary
young_005_s01,young_005,0.25876250200130807,50.0,0.6881770003593196,6.866912425850013,150,True,False,False,fast_learner
young_005_s02,young_005,0.2536058925915934,32.420870602500706,-0.22385170795035197,14.175422926643492,150,False,False,False,non_boundary
young_005_s03,young_005,0.29755464353241406,50.0,0.641693315464408,6.6177966170370635,150,True,False,False,fast_learner
young_005_s04,young_005,0.24075091601433676,50.0,0.28845169828125766,4.879563093042526,150,True,False,False,fast_learner
young_005_s05,young_005,0.3709380017221362,32.80985642219497,-0.6831563421157293,9.051486093418498,150,False,False,False,non_boundary
young_005_s06,young_005,0.256931532464454,22.155390862462614,0.6746166077331174,16.20303937960354,150,False,False,False,non_boundary
young_005_s07,young_005,0.4012624882824263,33.78950361056474,0.4796086081122225,11.067513453598536,150,False,False,False,non_boundary
young_005_s08,young_005,0.22999607855354054,43.52876039003792,-1.5812662234938342,10.3702410612943,150,False,False,False,non_boundary
young_005_s09,young_005,0.15963508269179968,24.716318353425553,0.47174771848142977,24.44130201503006,150,False,False,False,non_boundary
young_006_s00,young_006,0.20421709724037715,50.0,0.18685817976292696,9.53886351660759,150,True,False,False,fast_learner
young_006_s01,young_006,0.21903101985026135,50.0,-0.2738860263694358,5.381197790549107,150,True,False,False,fast_learner
young_006_s02,young_006,0.2889013099195278,40.19376748102845,-1.470710830238016,9.100024466959477,150,False,False,False,non_boundary
young_006_s03,young_006,0.29583201607214293,25.278253932209974,0.15983773116027986,16.72845889768407,150,False,False,False,non_boundary
young_006_s04,young_006,0.27568511169655796,27.518301396043846,0.41934572924930175,10.010104626782766,150,False,False,False,non_boundary
young_006_s05,young_006,0.2477109036779593,37.82165717299885,-0.09941760760879993,16.16132166129168,150,False,False,False,non_boundary
young_006_s06,young_006,0.2841384528009096,25.209767834827066,0.07009402102208984,12.844020139025346,150,False,False,False,non_boundary
young_006_s07,young_006,0.22336086908461827,25.473435936813082,0.11984309892641916,12.074805312205008,150,False,False,False,non_boundary
young_006_s08,young_006,0.12209468477004594,28.881478998655293,0.3446900124719189,13.856949137247367,150,False,False,False,non_boundary
young_006_s09,young_006,0.1648395987692773,50.0,0.2726047998748662,8.611017172720558,150,True,False,False,fast_learner
young_007_s00,young_007,0.2422533113520429,38.48301339470761,0.21452045368606482,9.636879082916005,150,False,False,False,non_boundary
young_007_s01,young_007,0.3945354461425971,48.53148567311756,0.5534404504483404,4.497864924841711,150,False,False,False,non_boundary
young_007_s02,young_007,0.31709092648859444,37.79720982836297,0.8333423829253358,9.76137800952177,150,False,False,False,non_boundary
young_007_s03,young_007,0.2500044548486821,22.574432861155238,0.6284010056463094,10.62411709399447,150,False,False,False,non_boundary
young_007_s04,young_007,0.29604968719025576,39.81553390807538,1.3032401289835387,11.541820914306324,150,False,False,False,non_boundary
young_007_s05,young_007,0.19798801649138548,22.731654489511886,0.5747328655434242,14.905924738779301,150,False,False,False,non_boundary
young_007_s06,young_007,0.6043698767828222,50.0,0.4903832661120422,8.669442907074714,150,True,False,False,fast_learner
young_007_s07,young_007,0.21822273529231576,22.77206881264623,0.09050257708376575,18.17612328184201,150,False,False,False,non_boundary
young_007_s08,young_007,0.33064721799993246,13.539399961804591,0.6360778730391352,22.165705034028964,150,False,False,False,non_boundary
young_007_s09,young_007,0.27188679969298374,34.70286682604822,-0.8252546541505638,13.885353434743934,150,False,False,False,non_boundary
young_008_s00,young_008,0.20171262178750662,40.639936709840626,-0.3955536410406831,13.37384857621912,150,False,False,False,non_boundary
young_008_s01,young_008,0.20987824294486973,27.694278387299708,0.9160114542549052,14.899150787447935,150,False,False,False,non_boundary
young_008_s02,young_008,0.21527181914086035,21.045833882859313,0.6515986306098088,17.25983844006227,150,False,False,False,non_boundary
young_008_s03,young_008,0.27992242227893394,19.791430414177185,0.7177974968722409,22.547797987549473,150,False,False,False,non_boundary
young_008_s04,young_008,0.29922988740817735,21.987542791887606,-0.2993685416440955,16.193242840897927,150,False,False,False,non_boundary
young_008_s05,young_008,0.1880731971968934,50.0,1.3466415987738458,11.312130906904594,150,True,False,False,fast_learner
young_008_s06,young_008,0.2779923903999449,21.151265240425083,0.5040094269746135,16.71573271050565,150,False,False,False,non_boundary
young_008_s07,young_008,0.4460288162506754,22.76714455443202,0.8325207785979535,14.526954177931366,150,False,False,False,non_boundary
young_008_s08,young_008,0.21135845446044138,47.60054331113149,0.24971112488957828,12.24789907226544,150,False,False,False,non_boundary
young_008_s09,young_008,0.19694230813096586,30.7992201691908,-0.23970177108019639,15.24618063003868,150,False,False,False,non_boundary
young_009_s00,young_009,0.2491636900885248,50.0,0.6801740843065327,6.5637238697373625,150,True,False,False,fast_learner
young_009_s01,young_009,0.35379395188913026,50.0,-0.7396567020441018,4.30975644003445,150,True,False,False,fast_learner
young_009_s02,young_009,0.3027517526644229,23.251672861856402,0.08673322014354246,14.837722928965766,150,False,False,False,non_boundary
young_009_s03,young_009,0.1894146349426806,50.0,-1.6729052030607736,3.780544663624371,150,True,False,False,fast_learner
young_009_s04,young_009,0.30811484617739787,46.2390990897942,-0.11850537896117634,14.30643976117514,150,False,False,False,non_boundary
young_009_s05,young_009,0.26610555507184736,16.969600142453093,0.22834072910654132,22.11225042770799,150,False,False,False,non_boundary
young_009_s06,young_009,0.1736754190431094,38.36506515851025,-0.8200566010640631,17.447762815854354,150,False,False,False,non_boundary
young_009_s07,young_009,0.28035328652557506,31.580807351101104,-0.16294422675888837,17.48561929637227,150,False,False,False,non_boundary
young_009_s08,young_009,0.1836496649534605,23.547905339504272,1.0059499991405132,15.18596142840773,150,False,False,False,non_boundary
young_009_s09,young_009,0.19605344316217263,27.06922476420249,0.44976037650583406,20.31168738339194,150,False,False,False,non_boundary
young_010_s00,young_010,0.26151561099669707,22.67560704979691,0.6140023496384681,13.93571385093759,150,False,False,False,non_boundary
young_010_s01,young_010,0.29275389631846566,45.481487093191554,1.9702117176230534,8.861749598146625,150,False,False,False,non_boundary
young_010_s02,young_010,0.22794270431070948,50.0,0.1467560647702874,6.992974735686969,150,True,False,False,fast_learner
young_010_s03,young_010,0.27611649765663876,19.05667832126381,0.2936333931842364,22.56129699601368,150,False,False,False,non_boundary
young_010_s04,young_010,0.23466053618264815,32.16240666657335,0.22806991496000564,10.476520736710077,150,False,False,False,non_boundary
young_010_s05,young_010,0.26634914431147655,36.64365509327063,-0.4228843997398558,10.238895594995983,150,False,False,False,non_boundary
young_010_s06,young_010,0.25767202994206,26.411054829471123,0.3346674462113645,14.513763105044568,150,False,False,False,non_boundary
young_010_s07,young_010,0.25865551685650584,34.79999918083598,1.1101229654108675,17.365447125453443,150,False,False,False,non_boundary
young_010_s08,young_010,0.16011930497791002,40.16665174327185,-0.6300291634537547,14.989628913710675,150,False,False,False,non_boundary
young_010_s09,young_010,0.25452646395831663,19.145862085175157,0.036210736278267854,22.579111867487843,150,False,False,False,non_boundary
young_011_s00,young_011,0.23079660184922574,32.02966049283494,-0.7904452596180266,11.624319694817679,150,False,False,False,non_boundary
young_011_s01,young_011,0.19026925510804996,50.0,0.8961896417323852,5.902200878988367,150,True,False,False,fast_learner
young_011_s02,young_011,0.2969229462786452,34.32887472386165,-0.6059002212267114,9.265643202648643,150,False,False,False,non_boundary
young_011_s03,young_011,0.2926355342454358,19.96891449660311,-0.0689026168693131,16.860589890537547,150,False,False,False,non_boundary
young_011_s04,young_011,0.18163757316492435,24.807978593232903,0.3236500888994408,15.929730694906196,150,False,False,False,non_boundary
young_011_s05,young_011,0.22538035440646925,50.0,-0.39650095289595916,5.21080247127435,150,True,False,False,fast_learner
young_011_s06,young_011,0.3038855293196252,24.4908653001613,-0.22308155873362376,17.49962974805138,150,False,False,False,non_boundary
young_011_s07,young_011,0.30961515565560743,28.107226219305637,-0.6254214289269026,11.516828370602514,150,False,False,False,non_boundary
young_011_s08,young_011,0.2528005478389824,43.646015276959986,1.2978611867523113,6.431882739072489,150,False,False,False,non_boundary
young_011_s09,young_011,0.27438377627531507,50.0,1.0104124213121126,10.753168785764657,150,True,False,False,fast_learner
young_012_s00,young_012,0.19573240002569522,33.14363399897946,0.16126042362432172,11.68130597950257,150,False,False,False,non_boundary
young_012_s01,young_012,0.2877075330554124,14.120934005406742,0.5637551548226697,17.92366022888256,150,False,False,False,non_boundary
young_012_s02,young_012,0.2826277230996189,25.46053684415132,-0.23848330667839945,21.53776548515124,150,False,False,False,non_boundary
young_012_s03,young_012,0.20486197293284047,18.42159418673278,0.6362810936831594,16.924636771917655,150,False,False,False,non_boundary
young_012_s04,young_012,0.16748671086032227,39.84106993203727,-0.006770085230198566,11.832702450047162,150,False,False,False,non_boundary
young_012_s05,young_012,0.3369539856042878,24.058818773314236,0.2664693518657456,13.471714107091763,150,False,False,False,non_boundary
young_012_s06,young_012,0.2645821538283568,26.37377318623332,0.6758556002484447,13.04848954374523,150,False,False,False,non_boundary
young_012_s07,young_012,0.2429639272886985,26.355303830663576,-0.31774778914556223,14.617552864443779,150,False,False,False,non_boundary
young_012_s08,young_012,0.24145780613034706,19.328689106634926,0.1278705623969405,20.456958393213394,150,False,False,False,non_boundary
young_012_s09,young_012,0.27447722172301375,50.0,-3.294158532640683,8.994963969549765,150,True,False,False,fast_learner
young_013_s00,young_013,0.23932799049281145,30.76605814855376,-0.4154945072496222,8.430971148766222,150,False,False,False,non_boundary
young_013_s01,young_013,0.30529702809934267,26.7226532480809,0.13737501785331263,13.940796141728017,150,False,False,False,non_boundary
young_013_s02,young_013,0.24174089774622776,49.59540004759778,-0.7054818472522589,11.244418812892748,150,False,False,False,non_boundary
young_013_s03,young_013,0.2678765270899998,16.892215490870626,0.24683404784249352,14.944881202779715,150,False,False,False,non_boundary
young_013_s04,young_013,0.4076220381196917,26.42851069354468,0.86413555389258,11.618742355555154,150,False,False,False,non_boundary
young_013_s05,young_013,0.19305799718205932,31.321803024519333,0.34741630893294706,13.314225100092479,150,False,False,False,non_boundary
young_013_s06,young_013,0.2985839139730364,50.0,-1.759046968893223,3.5510263091791763,150,True,False,False,fast_learner
young_013_s07,young_013,0.21334419417916256,50.0,1.0497787430617558,5.421028280689171,150,True,False,False,fast_learner
young_013_s08,young_013,0.25347338011018733,29.71162073513196,-0.19099124431570536,17.137970869700343,150,False,False,False,non_boundary
young_013_s09,young_013,0.24147297309290322,25.335614013544316,-0.8508919272088045,19.121983966955728,150,False,False,False,non_boundary
young_014_s00,young_014,0.2521910597267712,21.556999480095552,0.20632224499312302,22.452587009527118,150,False,False,False,non_boundary
young_014_s01,young_014,0.2137114466994493,30.726336739300702,0.310196266611259,11.879699652463641,150,False,False,False,non_boundary
young_014_s02,young_014,0.3444155866851159,30.69139465226304,-0.2526109319037076,10.374890821904115,150,False,False,False,non_boundary
young_014_s03,young_014,0.27983400867912994,32.58959501921323,-0.8110659292692126,11.045192076404529,150,False,False,False,non_boundary
young_014_s04,young_014,0.2137439892157023,33.785988619888045,-0.622633014956966,12.333795052008824,150,False,False,False,non_boundary
young_014_s05,young_014,0.20180320610822808,50.0,0.06694026032850821,6.7771081235621216,150,True,False,False,fast_learner
young_014_s06,young_014,0.20503545411478766,35.412923240488475,-0.8864533877793663,19.121556960432176,150,False,False,False,non_boundary
young_014_s07,young_014,0.248313903405258,23.00791020809253,-0.1559267588917114,17.369467034775976,150,False,False,False,non_boundary
young_014_s08,young_014,0.2753956021389526,47.36002664881593,0.5800032056344722,9.172157200411641,150,False,False,False,non_boundary
young_014_s09,young_014,0.2809569777703004,21.153048518907045,0.06369985798088562,16.044501212438995,150,False,False,False,non_boundary
young_015_s00,young_015,0.2387537970022155,35.90067421889167,0.01097469462390991,10.942374594624713,150,False,False,False,non_boundary
young_015_s01,young_015,0.3289239386645901,47.61345474615623,-0.7421135018915098,9.443778405087341,150,False,False,False,non_boundary
young_015_s02,young_015,0.17690512429088526,50.0,-0.47429326712642256,4.603916690917656,150,True,False,False,fast_learner
young_015_s03,young_015,0.2908543418833899,31.427945006511013,-0.43269768947888754,12.270785248516523,150,False,False,False,non_boundary
young_015_s04,young_015,0.465361496713537,21.446093671930825,0.6209583998306174,12.893940129418766,150,False,False,False,non_boundary
young_015_s05,young_015,0.27612249500511343,23.853363511557948,0.15291302160381262,12.306055248413582,150,False,False,False,non_boundary
young_015_s06,young_015,0.42780886700644793,12.116374584991341,0.1933138428385378,14.960230418982457,150,False,False,False,non_boundary
young_015_s07,young_015,0.2779218146097873,36.816098484576145,-1.2499647820215336,10.254466637933298,150,False,False,False,non_boundary
